track,album,artist,ID,popularity,release_date,duration_ms,artist_id
Unutulacak Dünler,HİZA,Gazapizm,3aXTeIVnDvo2MT1xLTdGK3,64,2020-02-13,295637,2boacFGRX1WIo7NFS8B0F2
Tekrar,Tekrar,Karya Çandar,1T5FRePJ0y55PRYGjlxHgn,26,2021-06-11,147771,5cqshWrRR53ssZM2L2P06K
Seni Dert Etmeler,Seni Dert Etmeler,Madrigal,10n66m41IGjA2ZulKPK7Ew,74,2020-03-27,188500,2aZlYOswKNlrwqpuTsckKd
Kelebekler,Kelebekler,Madrigal,3O9G6FQrqhwQxR0GeeF93Q,61,2019-12-04,247129,2aZlYOswKNlrwqpuTsckKd
25,25,Ati242,4HuB9A0O1XwmwTVtTgODm8,72,2022-05-13,210044,6bGOmNBU1AOgttgOjh0ldf
Olamam İflah,Kara Tiyatro,Lil Zey,2PW6hfd7Dhz5Eo3voCCdXr,54,2021-05-28,198000,7Gx2wDVHyW5HJh7dc2t5h7
Neden,Amal,Mudi,5ZiCxjBnHUG4prwOd1MU2S,30,2021-01-08,179500,1tnX93BHWyMdBSLhwAzo1j
Al Aramızdan,Al Aramızdan,KÖFN,6Uaw8GEKP6AxIMNUyi6q6w,71,2023-04-14,171382,3ZKkHPTZTq8z8pokwZiInd
PAPARAZZI,PAPARAZZI,UZI,6gxLEbRJlorva6uVRW4gof,69,2021-11-19,164000,51DevdOxIJin6DB1FXJpD1
Gökyüzünü Tutamam,Gökyüzünü Tutamam,Can Koç,4O9hcXs1ohtbw4xnMU8wfo,69,2021-07-23,195000,3O6mcOK5C1hkMfwrSkNPMM
Baba,Original,Diyar Pala,4BX8qx8CcPz30WxiI2G6Qk,48,2010-04-01,223986,23Q5T7JtqekFJMbC0XKxnh
Geceler,Müptezhel,Ezhel,0R0o8uOkDz40XsR6uwThfQ,70,2017-05-25,222927,6LnJKrtFnTEGdbWQ2riWCL
ELMAS,AQUA,Luciano,3g1xpWXrQT5KriZ381i9Zg,53,2021-07-01,185080,3CJKkU0XuElRT1z8rEtIYg
Bul Beni,Bul Beni,Ezhel,6ipyu0Am4avjFkBcFAhVAz,63,2021-07-02,154173,6LnJKrtFnTEGdbWQ2riWCL
We Are The People,Walking On A Dream,Empire of the Sun,6DG1vjbBFKJWVeihm4hK0X,56,2008-01-01,267354,67hb7towEyKvt5Z8Bx306c
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Hollywood's Bleeding,Post Malone,7CZyCXKG6d5ALeq41sLzbw,78,2019-09-06,229573,246dkjvS1zLTtiykXe5h60
Heveslenmem,Heveslenmem,Lil Zey,1KzBkHudZtJqwAyrr3eExZ,59,2020-03-06,180983,7Gx2wDVHyW5HJh7dc2t5h7
sana dönmem imkansız,kalp kırıkları & sedatifler,sevimo.,7ph61dzwt1IgoswCZMebeE,51,2021-02-26,227151,2EChc9oByY31aq86S1E4ST
Pusulam Rüzgar,Pusulam Rüzgar,Melike Şahin,5pGxanWKWR7ZgHJ4C385DF,67,2021-09-24,248755,16GyR4WfCnIT2XST4ZLl2B
Makina,Kan,UZI,5jvhTc0g18kwYQNUJM5C4e,66,2021-03-19,211016,51DevdOxIJin6DB1FXJpD1
Sakladığın Bir Şeyler Var,Sakladığın Bir Şeyler Var,Dedublüman,6t18CcJVpnFAoWfcZxiZtk,75,2021-07-16,196800,5PRW6j58xEEWL4DDVEITKT
Diğer Yarım,Diğer Yarım,ATE,38QSynLcDBfbETORhSsssH,71,2022-07-08,142853,1gta8KxWev006kmzUCM0a5
Mayrig,Mayrig,Ezhel,7vHt2462X3GJflTVK57ECX,53,2021-09-17,197093,6LnJKrtFnTEGdbWQ2riWCL
Link UP,Link UP,Ezhel,6nChqhmpkfAPKuVw8KYUEr,44,2020-11-20,194084,6LnJKrtFnTEGdbWQ2riWCL
Beyaz Skandalım,Ağır Roman,Emir Can İğrek,7gI0722sWUhVpI0xOpejmZ,68,2018-11-07,215488,4XP7cGw4t8BqZ8Du5q3bHg
Ne Zamandır Sendeyim,Neogazino,Madrigal,0OVHDxpCVbxobwNC4asBk1,66,2021-04-09,201967,2aZlYOswKNlrwqpuTsckKd
Seni Gördüm Rüyamda,Seni Gördüm Rüyamda,Canozan,51nhV18m4MqRoOOnEVBHNA,64,2019-12-06,210309,4MUb8ilmrxyePXwSkG31lC
Antidepresan,Antidepresan,Mert Demir,4OH5Cd8ZOI1eSgJSC9PYmU,72,2022-11-04,240125,1Zj4GtouAnxHq4qw7ooLfm
ELMAS,ELMAS,Luciano,37yAd2kwEI9axbB6UznrOQ,55,2021-05-06,184900,3CJKkU0XuElRT1z8rEtIYg
Kalbin bana kaldı,Kalbin bana kaldı,ALIZADE,55Tf67DiltMLjOY6A25s3J,66,2022-07-29,144000,1EPZusBDP8yewhsaKtwktz
Unutulanlar V2,Unutulanlar V2,Ati 242,6fni4PtPJGqEMEc5nbOLpe,0,2015-10-14,212160,1Iot6YdeAuEUPOm1TG45zt
Son Bakış,Sezen Aksu Söylüyor,Sezen Aksu,28CDZ57gYDikYi2KZ7cznW,65,1989-07-07,352773,64d1rUxfizSAOE9UbMnUZd
GECELERİN DERDİ,BEGEFENDİ,BEGE,5L9oweGjkwBg0Mt9ZU9OhW,0,2021-01-29,157220,6q1sTU51oryTTcWTPTd0VC
MINI TERORISTA,MINI TERORISTA,Jeff Redd,6kvf06eThDCrvYknMY32To,80,2023-11-10,134400,6xqA7u7TxHUYJp6Ww1XgNx
FESTİVAL,FESTİVAL,Ati242,7jQri0CCEkeOGt7fedmmsu,56,2022-04-01,152497,6bGOmNBU1AOgttgOjh0ldf
Melek,Melek,Reynmen,6XbuJHhqugUVdJbTdshUEL,58,2020-12-06,154923,1Fg19vpUJpAAPFjnKaVYVW
Gamzedeyim Deva Bulmam,Gamzedeyim Deva Bulmam,Dedublüman,6glvSyTo1y4WLtX0mnDq83,67,2020-02-01,316800,5PRW6j58xEEWL4DDVEITKT
Bodrum,Akustik Travma,Yüzyüzeyken Konuşuruz,7DarbtpxRUG5POF3ifwu61,64,2018-02-23,235817,7gobcoscOfsY0nOeqqFzvU
Beyaz Skandalım,Ağır Roman,Emir Can İğrek,1gLCVATJt0IT6aRuqZvrKt,0,2018-11-07,215488,4XP7cGw4t8BqZ8Du5q3bHg
Kül,Kül,Cem Adrian,5NPg92vbjaGk4q9mh7MMEM,68,2021-01-16,294532,2AWUCT9xtcvkjpFq1ZgpPj
Kadınım,Uzay Heparı Sonsuza,Yüksek Sadakat,2D6OE3CZXDRfsOHQx7XnHJ,40,2008-12-13,330160,3SrFQDUN5DXQDZc3kygriW
Sür Eve,Sür Eve,Güneş,5PZvJT8hrwmhQB3iU7oqHz,50,2021-12-10,180147,0L3wrFI3QcbXAvFL7IaPQX
Детство,Я люблю тебя,Rauf & Faik,5snCfoQbJ7S4cYB0K8XuJ4,70,2018-09-28,188362,0a3zDmrvmZcORfPeONPvfL
lovely (with Khalid),lovely (with Khalid),Billie Eilish,0u2P5u6lvoDfwTYjAADbn4,91,2018-04-19,200185,6qqNVTkY8uBg9cP3Jd7DAH
Peygamber Sabrı,Kara Tiyatro,Lil Zey,3GFRJgMAPKeYJ717UeB0zp,55,2021-05-28,191624,7Gx2wDVHyW5HJh7dc2t5h7
Dancin (feat. Luvli) - Krono Remix,Dancin (feat. Luvli) [Krono Remix],Aaron Smith,6WkJ2OK163XXS2oARUC9JM,79,2014-11-07,198053,77qukKzmdI5BeMBR7WGUrN
Toz Taneleri,Sarkastik,Sagopa Kajmer,36ulbeGLdspdIYSFKXIlmN,62,2019-11-29,269002,1KXTegXtnCPKXjRaX1llcD
Eskisi Gibi,Eskisi Gibi,Lil Zey,44a3EWRqHiOJEGzWgaX8dd,63,2020-07-10,186461,7Gx2wDVHyW5HJh7dc2t5h7
Hollywood's Bleeding,Hollywood's Bleeding,Post Malone,7sWRlDoTDX8geTR8zzr2vt,79,2019-09-06,156266,246dkjvS1zLTtiykXe5h60
Yalnız Çiçek,"Yıldız Tilbe'nin Yıldızlı Şarkıları, Vol. 1",Aleyna Tilki,7rzH1EcSFh33M6BnQ8YzDX,54,2018-05-21,226825,4ckLjJztj53Ifid7WHweBn
